  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
10.3,3.4,1,6.5,980.95,16.7,89.67,21,13.1
5.7,1.8,0,4,981.94,17,82.38,22.3,12.5
7.2,2.3,0,2.7,979.7,19.6,67.29,25.9,11.5
8.7,3.5,1,5,974.11,22,61.88,27.5,15.6
9.6,4.1,0,2.7,973.35,22.1,62.88,27.3,16.8
8.9,3,1,4.6,974.97,21.2,68.75,27.4,16.3
5.8,1.6,1,7,977.88,18.6,84.5,23.9,15.8
8.2,1.6,1,6.3,975.74,20.1,82.29,25.7,15.2
8.1,1.6,1,6.2,975.47,19.2,86.58,26.7,15.1
6.5,1.6,1,5.7,974.7,20.2,80.29,27.2,14.5
9.8,2.3,1,6.4,972.86,18.8,88.63,25.6,15.3
11.7,3.5,1,7.5,972.89,15.6,90.46,18,13.6
7.7,2.9,0,7,977.97,13.9,73.71,15.6,11.3
9.1,1.8,1,6.9,979.42,15.3,71.46,20.6,10.3
4.1,1.1,0,7.1,979.7,16.9,79.71,20.8,13.5
9.3,2.1,0,5,978.65,19.3,69.04,25.1,13.4
10.3,2.9,0,5.7,981.65,16.4,72.04,20.7,11.4
7,2.4,0,5.6,985.2,17,73.5,21.1,11.6
5.7,1.9,0,4.3,987.02,17.7,79.21,22.9,12.3
5.7,-999,0,0.7,983.47,22,69,29.3,13.3
13.2,4.7,0,3.3,981.8,17.8,63.21,22.5,8.7
11.3,3.5,0,2.8,988.12,11.9,65.46,17,6
8.2,-999,0,3.3,987.98,13,67.58,19.8,5.5
-999,-999,0,6.5,984.29,15.3,66.54,20.5,7.9
-999,2.2,0,5,985.55,16.2,68.58,21.1,11.5
7.2,2.3,0,1.8,985.3,18.3,64.5,25.4,9.7
9.9,4.1,0,1.8,984.29,19.7,56,25.5,13
12.5,4.4,0,3.8,981.98,20,54.75,26.2,13.6
11.7,3.7,0,3.6,978.75,22.4,56.71,27.6,16.9
