  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
3,0.7,1,0,7.7,10.9,991.2,8.2,99,11.8,4.4,3.1
3.5,0.9,1,0,2.7,11.5,987.6,9.7,94,16.4,6,6.5
6.4,2.2,0,0,6.3,11.7,980.7,11.1,89,16,6.4,4.2
10.8,4,1,0,4.7,9.1,974.6,7.2,84,11.9,4.6,8.9
6.2,2.3,1,0,8,7.1,975.8,3.6,89,4.6,2.2,0.8
9.5,3.2,8,0,8,6.8,970.6,2,95,4,1.5,2.5
7.7,3.3,8,0,4.7,6.9,976.2,3.7,89,5.4,1.2,1.4
12.5,4.6,1,0,6.7,7.5,967.5,3.4,92,6.8,1.7,1.6
9.2,3.3,1,0,4.3,6.3,973.1,2.4,85,7.1,0.5,-1.6
14.1,6.8,1,0,8,6.1,983.2,0.9,90,3.4,-0.7,0.4
12.9,5.8,0,0,2.7,4.9,980,0.2,77,3.6,-1.8,-1.3
7.1,1.7,1,0,5,6.4,972.6,2.5,87,4.9,-3.2,-5.9
3.9,1.7,1,0,7.3,6.9,977.1,2.4,96,3.7,-0.9,-2.9
9,3,1,0,7.7,8.7,978.3,6.6,89,9.3,2.6,2.6
7.2,3.7,1,0,6.7,8.8,983,6.4,92,7.1,5.4,5.2
6.5,2.6,0,0,7.7,8.1,991.8,5,93,6.9,2.2,-1.1
4.4,1.8,1,0,5,7.5,991.2,3.9,90,6.1,2.7,3
8.1,4.2,0,0,0,6.7,980.8,2.7,88,8.4,-0.8,-3.3
7.5,3.1,1,0,2.7,7.7,976.6,6,83,10.2,-1.2,-2.8
6.8,2.9,1,0,7,10.1,976.6,7.7,94,10.1,5.5,5.4
9.9,3.3,1,0,7.7,10.1,972.3,7.8,93,9.7,6.3,4.9
6.1,1.8,1,0,6,8.3,972.6,6,88,7.6,5.2,4.1
11.3,4.4,0,0,7.7,8.1,977.9,6,86,8,4.3,2.7
8.3,2.6,0,0,8,6.4,979.1,3,85,5.5,2.6,3.3
3,1.1,1,0,7.7,6.8,983.9,3.2,89,4.1,1.7,1.6
3.5,0.4,1,0,7,7.5,988,4,94,6.5,-1.8,-3.6
